t,x,y,z,
5748,0.00227479615209,-0.000575466399819,-0.197933306792,
5775,0.00246752381513,-0.000486650771809,-0.198628311271,
5791,0.00246637900934,-0.000524218899164,-0.19952840272,
5821,0.00258481650385,-0.00038355498422,-0.197981559467,
5834,0.0025851523905,-0.000393090815956,-0.198230354546,
5865,0.00304934626697,-0.00013890112735,-0.198977370476,
5879,0.00304934626697,-0.00013890112735,-0.198977370476,
5903,0.00299454401103,-0.000192482255843,-0.199499066821,
5921,0.00290218589664,0.000178365896461,-0.198262809963,
5939,0.00296849077947,0.000211777889867,-0.198487719908,
5961,0.00315440618591,0.00029921204361,-0.199319632533,
5978,0.00321105044961,0.000327297596504,-0.199526111798,
6001,0.00328182795895,0.000345537562228,-0.200363521388,
6019,0.00324250858899,0.000452839127621,-0.198763755654,
6039,0.00326391485006,0.000462910665382,-0.19886400253,
6057,0.00315088931208,0.000369021436216,-0.199703400088,
6076,0.0032566853566,0.000424949381348,-0.200018471355,
6104,0.00320147620777,0.000368493794645,-0.20081483675,
6118,0.00273808948589,0.000291924061314,-0.198671763576,
6138,0.00284916400985,0.000350016197685,-0.198991014573,
6162,0.00294364849281,0.000380507091324,-0.199871303854,
6180,0.00318512610058,0.000512060398733,-0.200419147764,
6201,0.00326327826036,0.000552333940282,-0.200681633302,
6221,0.00315902146878,0.000472487016677,-0.201279279536,
6242,0.00314670208407,0.000455957682081,-0.199142970891,
6269,0.00314670208407,0.000455957682081,-0.199142970891,
6285,0.00359321922657,0.000702847481631,-0.200061132035,
6305,0.00378378597869,0.000797912888011,-0.200895090383,
6325,0.00383899100269,0.000524833029098,-0.199230364997,
6340,0.0039279797117,0.00056245589214,-0.199720890757,
6360,0.00400654930259,0.000601626907421,-0.199977050231,
6387,0.00403192395518,0.000599579619938,-0.200490731117,
6404,0.00394462513872,0.000526455151855,-0.201086878759,
6427,0.00395065749913,0.000514002256839,-0.201564817418,
6447,0.00379698429966,0.000438740119148,-0.199272518985,
6467,0.0042346444161,0.000663770136242,-0.200327946398,
6491,0.00424418999269,0.000664531684212,-0.200455386524,
6510,0.00422958180655,0.00061979138492,-0.201330324451,
6528,0.0043186098528,0.000838469690547,-0.199006858009,
6568,0.00437873839672,0.00086731522428,-0.199209088239,
6576,0.00393835062523,0.000564112925914,-0.200153622153,
6604,0.00399718647018,0.000585084520854,-0.200548241026,
6644,0.0040142300231,0.000563498464116,-0.201404779332,
6654,0.0040142300231,0.000563498464116,-0.201404779332,
6692,0.0037594336238,0.000719379494055,-0.199720807397,
6711,0.00364078531622,0.000626803889349,-0.200717703104,
6735,0.00361050931349,0.000610061920964,-0.201270571719,
6751,0.00358396915873,0.000590404527995,-0.202242111236,
6772,0.0034292560756,0.000642501006882,-0.200165272594,
6782,0.00341390152506,0.000638718532375,-0.200394924695,
6800,0.00339704145088,0.000631167528317,-0.200647256014,
6822,0.00332293960333,0.000604547507394,-0.201790663049,
6842,0.00332293960333,0.000604547507394,-0.201790663049,
6864,0.0032391343667,0.000586671659156,-0.202924647226,
6890,0.00301862080293,0.000413720278139,-0.201215743578,
6917,0.00296978593854,0.00041287393145,-0.201831081165,
6938,0.00290526388064,0.000405063072117,-0.202747259241,
6961,0.0028578051341,0.000404788548041,-0.203640794862,
6980,0.00279831659783,0.000519324255576,-0.20186687696,
7001,0.00278690743335,0.000521255642631,-0.202176373875,
7028,0.00274186035385,0.000541806902028,-0.204223504023,
7045,0.00273255737252,0.00056143476051,-0.205519033077,
7061,0.00273509488115,0.000593254537552,-0.207238508373,
7085,0.00277254680305,0.000759992687143,-0.207988530536,
7106,0.00278799308832,0.000786146540799,-0.209029902184,
