t,x_0,x_1,x_2,
7135,0.00567183883049,0.00236561525872,-0.165677363867,
7142,0.00597811302433,0.00252696670875,-0.164395998562,
7172,0.00597041676108,0.00251980906134,-0.164066136429,
7185,0.00576303321222,0.00241504043254,-0.166419675538,
7214,0.0058379717569,0.00245559536451,-0.166129526593,
7232,0.00600247540427,0.00254143123597,-0.165060494035,
7249,0.00607810272116,0.0025825717109,-0.164759159799,
7269,0.00624985319273,0.0026821128583,-0.163641621036,
7287,0.00600832900068,0.00248929688892,-0.166836902821,
7321,0.00629849337109,0.00265446825158,-0.165779135224,
7339,0.00635621454809,0.00268637067433,-0.165095710513,
7356,0.00647690851379,0.00275709359064,-0.164556376746,
7370,0.00655708790642,0.00280282371021,-0.164239986741,
7390,0.00592799481872,0.00244737413577,-0.166201524083,
7414,0.00605158416544,0.00251755157897,-0.165460772912,
7429,0.00616895050836,0.00258430344203,-0.164993814894,
7445,0.00626518645559,0.00263908241608,-0.164633410665,
7464,0.00641479870707,0.00272517335576,-0.163794626129,
7487,0.00611346140345,0.00261523060311,-0.165928689595,
7507,0.00611346140345,0.00261523060311,-0.165928689595,
7539,0.00616597097649,0.0026531499585,-0.164180376545,
7548,0.00616597097649,0.0026531499585,-0.164180376545,
7563,0.00621582339956,0.00268432162871,-0.163543577919,
7583,0.00589425130224,0.0025076262043,-0.166170506444,
7605,0.00607514975962,0.00261483198799,-0.165639341473,
7621,0.00609130285841,0.00263224373492,-0.164774216838,
7655,0.00621085893407,0.00270869724834,-0.163725573646,
7671,0.00623627812366,0.00272659701335,-0.163329320492,
7695,0.00589847131211,0.00255464283768,-0.164949752062,
7767,0.00601723263128,0.00262592753694,-0.164582406553,
7767,0.00601723263128,0.00262592753694,-0.164582406553,
7767,0.00601723263128,0.00262592753694,-0.164582406553,
7771,0.00601723263128,0.00262592753694,-0.164582406553,
7797,0.00604381699049,0.00264365313982,-0.16430986169,
7814,0.00928770256774,0.00463734522872,-0.162616180379,
7831,0.00933516995676,0.00466545782738,-0.162429218811,
