t,x_0,x_1,x_2,
10785,-0.0239964794106,-0.0150457707542,-0.445508033762,
10811,-0.0242361075344,-0.0153131561822,-0.463887492545,
10829,-0.0244550767672,-0.0155563677537,-0.480966644442,
10843,-0.0229147624489,-0.0149431255781,-0.497935702971,
10870,-0.0230466704712,-0.0150924879305,-0.509095986649,
10890,-0.0230466704712,-0.0150924879305,-0.509095986649,
10907,-0.0234394492912,-0.0155297334667,-0.542453258807,
10923,-0.0235049050926,-0.015601729045,-0.54801331965,
10940,-0.0221358747036,-0.015302423067,-0.573622612341,
10961,-0.0221358747036,-0.015302423067,-0.573622612341,
10982,-0.0223292669546,-0.0155184245453,-0.590810826062,
11004,-0.0226680538871,-0.0158849088302,-0.620131765124,
11024,-0.0228737707543,-0.0161000403614,-0.637303967239,
11047,-0.0229471349775,-0.0161755482085,-0.643288693433,
11065,-0.0215608506391,-0.015442016686,-0.654485813312,
11085,-0.0217634495876,-0.0156495509679,-0.671044031069,
11104,-0.0220505734882,-0.0159363355197,-0.693372570107,
11125,-0.0220505734882,-0.0159363355197,-0.693372570107,
11144,-0.0223665498969,-0.0162404482886,-0.716324969208,
11164,-0.0209337370567,-0.0155397842768,-0.731007609543,
11182,-0.0210806548316,-0.015676430224,-0.741105897995,
11201,-0.0213325036255,-0.0159030188217,-0.757501294434,
11219,-0.0214520516809,-0.016008878592,-0.764917120142,
11238,-0.0216929717299,-0.0162192566066,-0.779206262012,
11259,-0.0200964011531,-0.0153648330674,-0.790820940455,
11279,-0.0203217234165,-0.0155581460346,-0.803442119919,
11299,-0.0204995274121,-0.015707565284,-0.812780231092,
11319,-0.0205818419845,-0.0157757470613,-0.816923867573,
11339,-0.0193150265878,-0.0153042027144,-0.831629632442,
11364,-0.0194239603071,-0.0153933044556,-0.836713859388,
11381,-0.0197098037879,-0.0156214146776,-0.849174837867,
11402,-0.0197098037879,-0.0156214146776,-0.849174837867,
11422,-0.0199550719078,-0.0158124899077,-0.858919910668,
11451,-0.0188367796145,-0.0151611997362,-0.872632554893,
11468,-0.0188367796145,-0.0151611997362,-0.872632554893,
11487,-0.0192365931653,-0.0154516281993,-0.885522013408,
