t,x_0,x_1,x_2,
22402,0.115793100872,-0.318398379578,-0.938658478947,
22402,0.115793100872,-0.318398379578,-0.938658478947,
22409,0.115793100872,-0.318398379578,-0.938658478947,
22429,0.115936631675,-0.31878526831,-0.939592294482,
22450,0.115950579923,-0.319071284832,-0.939617611304,
22479,0.115978776872,-0.31970384269,-0.939672994354,
22490,0.115989873431,-0.319957080286,-0.939693905073,
22506,0.116001442083,-0.320241823034,-0.939716692532,
22527,0.115998509625,-0.320631600099,-0.940512176215,
22547,0.116012728122,-0.32105525319,-0.940551362471,
22567,0.116018711999,-0.321248014477,-0.940568727657,
22587,0.116029592228,-0.321620719169,-0.940602274225,
22609,0.116040854106,-0.322059911508,-0.940642628085,
22636,0.115966728562,-0.322582918548,-0.941289474349,
22658,0.115969565506,-0.322734769394,-0.941306806512,
22671,0.115972564003,-0.322913432227,-0.941327824803,
22698,0.115978588964,-0.323450966854,-0.941392943757,
22724,0.115980378379,-0.323678832467,-0.941420681402,
22742,0.115981556055,-0.324074415785,-0.941469787571,
22759,0.115805360739,-0.324293148097,-0.941753018152,
22783,0.115793501957,-0.325002389879,-0.941853877579,
22800,0.115793501957,-0.325002389879,-0.941853877579,
22825,0.115821994622,-0.325376624678,-0.942448025199,
22839,0.11581472611,-0.325656303256,-0.942500004665,
22859,0.115806674212,-0.325927246741,-0.942553116913,
22880,0.115806674212,-0.325927246741,-0.942553116913,
22912,0.115788234737,-0.326566556439,-0.942685761346,
22921,0.115788234737,-0.326566556439,-0.942685761346,
22939,0.115788234737,-0.326566556439,-0.942685761346,
22960,0.115885724929,-0.32745637396,-0.943727693052,
22980,0.115879785129,-0.327801802411,-0.943823125306,
22997,0.115877430659,-0.327935178511,-0.943860806919,
23015,0.115874897783,-0.328087071765,-0.943903673676,
23036,0.116051332453,-0.328569329008,-0.944157095521,
23061,0.116047779813,-0.328827836925,-0.944228833304,
23081,0.116040660414,-0.329241726001,-0.944344467384,
23096,0.116037917382,-0.329390773481,-0.944386731715,
23113,0.116032248712,-0.329651884553,-0.944462407844,
23138,0.116030150381,-0.329860733821,-0.944592286047,
23161,0.116020050155,-0.330239888202,-0.944706252894,
23174,0.11601393332,-0.330458117151,-0.944775878139,
23194,0.116011426651,-0.330542519449,-0.944803748292,
23219,0.116000271686,-0.330856415302,-0.944912150897,
23249,0.116281597408,-0.331611145215,-0.945537557762,
23258,0.116281597408,-0.331611145215,-0.945537557762,
23281,0.116271444367,-0.331966352955,-0.945684135342,
23299,0.116271444367,-0.331966352955,-0.945684135342,
23318,0.116259982076,-0.332403077594,-0.945872975157,
23345,0.116409034745,-0.332804581405,-0.946529246989,
23366,0.116404334545,-0.333021448903,-0.946633199515,
23382,0.116404334545,-0.333021448903,-0.946633199515,
23407,0.116398222701,-0.333342017073,-0.946788579779,
23425,0.116393910729,-0.333556205817,-0.946893184183,
23453,0.116542310717,-0.334264526407,-0.947768328899,
23466,0.116542310717,-0.334264526407,-0.947768328899,
23479,0.116537392878,-0.334438756196,-0.947860750533,
23519,0.116525827335,-0.334787011929,-0.948044184743,
23520,0.116525827335,-0.334787011929,-0.948044184743,
23541,0.116721843821,-0.33516890665,-0.94869150138,
23562,0.116721843821,-0.33516890665,-0.94869150138,
23591,0.116695889226,-0.335685245224,-0.948984943957,
23602,0.116691694832,-0.335753409605,-0.94902465292,
23627,0.11668658688,-0.335833521182,-0.949071382434,
23644,0.116776010172,-0.336190722931,-0.94982672752,
23665,0.116758065986,-0.336417396983,-0.949969457315,
23685,0.116758065986,-0.336417396983,-0.949969457315,
23702,0.116729976142,-0.336715512255,-0.950158401232,
23728,0.116729976142,-0.336715512255,-0.950158401232,
23756,0.11671308971,-0.336871438818,-0.950258487835,
23764,0.11671308971,-0.336871438818,-0.950258487835,
23785,0.117051246538,-0.337586979326,-0.951288625242,
23807,0.117028863857,-0.337797295538,-0.951425626393,
23822,0.117012820316,-0.337929986055,-0.951511722334,
23845,0.117163200307,-0.338268302065,-0.95147664394,
23863,0.117138155385,-0.33847421286,-0.951604015457,
23878,0.117121597272,-0.33860519001,-0.951680583669,
23897,0.117098063791,-0.338791540887,-0.951784385006,
23926,0.117077096665,-0.338950251802,-0.95186923806,
23945,0.117026396471,-0.339435519949,-0.952310382554,
23968,0.117004465125,-0.339575767443,-0.952388903528,
23983,0.116985947879,-0.339684095615,-0.9524512541,
24005,0.1169690385,-0.339775989549,-0.952506720676,
24027,0.116939261231,-0.339924551307,-0.952600876387,
24046,0.117304926235,-0.340289892607,-0.95299038882,
24065,0.117287958426,-0.340367002306,-0.953044169927,
24094,0.117261802664,-0.34047778695,-0.953124100011,
24107,0.117234691507,-0.340591957185,-0.953208667062,
