t,x_0,x_1,x_2,
7587,-0.00956342883446,-0.0058761016213,-0.574179638536,
7595,-0.00956342883446,-0.0058761016213,-0.574179638536,
7617,-0.0059403062135,-0.00366908801941,-0.597533479888,
7633,-0.0059403062135,-0.00366908801941,-0.597533479888,
7653,-0.00540857313368,-0.00333111484763,-0.623266194459,
7672,-0.00530808283131,-0.00326718148021,-0.628446485531,
7785,-0.0051863681663,-0.00318975887713,-0.634922493263,
7786,-0.0051863681663,-0.00318975887713,-0.634922493263,
7814,0.00163694875321,0.000826795964462,-0.686953128022,
7831,0.00179473182586,0.000924193508161,-0.698795232057,
7851,0.00184392920822,0.000954222803616,-0.703198891955,
7867,0.00184392920822,0.000954222803616,-0.703198891955,
7894,0.00195748928213,0.00102355872555,-0.716903791467,
7908,0.00195748928213,0.00102355872555,-0.716903791467,
7930,0.00523015708399,0.00262893890135,-0.718408947607,
7948,0.00530997324278,0.00265612970854,-0.72498891002,
7968,0.00561891267043,0.00267283834001,-0.73078789812,
7997,0.00629046910992,0.00268231489851,-0.732632962148,
8010,0.00746002497852,0.00269601549268,-0.733569106821,
8032,0.0180734677039,0.0044495863801,-0.730789802048,
8050,0.0239457451042,0.00452421761642,-0.730055867129,
8077,0.0319229821053,0.00461818894026,-0.728866215733,
8096,0.049405377043,0.00480667080356,-0.726245501547,
8116,0.0614086537166,0.00635860506812,-0.724368682522,
8140,0.0614086537166,0.00635860506812,-0.724368682522,
8150,0.103811283401,0.00677700625155,-0.719606118804,
8174,0.103811283401,0.00677700625155,-0.719606118804,
8188,0.103811283401,0.00677700625155,-0.719606118804,
8207,0.164494160423,0.00955928519781,-0.717252395604,
8225,0.188346710032,0.00977644598608,-0.716829822361,
8248,0.220923018753,0.0100759522917,-0.716353938602,
8272,0.240271318102,0.0102576942717,-0.716113113915,
8292,0.25358990476,0.0103839059954,-0.715960967376,
8309,0.287397999989,0.0123888147721,-0.715460365076,
8326,0.308423481441,0.0126052169877,-0.715280518721,
8353,0.331685027306,0.0128430546377,-0.715096712524,
8365,0.356226607702,0.013090369381,-0.714920109704,
8386,0.387371425628,0.0133965776942,-0.714726674974,
8404,0.419427710032,0.0151401955482,-0.714671076191,
8424,0.439056144006,0.0153287727391,-0.714604527337,
8447,0.470217652451,0.0156171010106,-0.714526576738,
8465,0.491369658143,0.0158042138002,-0.714495638117,
8495,0.523176699501,0.0160703419877,-0.714484767769,
8511,0.563682893023,0.0182125904674,-0.714677279485,
8531,0.588660977789,0.018411691324,-0.714760314166,
8552,0.602108452243,0.0185135094051,-0.714817169546,
8572,0.631313842705,0.0187211193874,-0.714971075856,
8589,0.654214042322,0.0188708180149,-0.715121488297,
8612,0.673042391561,0.0189854170084,-0.715265371878,
8635,0.738883739213,0.0210810862836,-0.716458726245,
8657,0.764912967764,0.0212048279939,-0.716796264945,
8681,0.803316016922,0.0213555460003,-0.717358240754,
8693,0.812671278159,0.0213863475139,-0.717506903897,
8718,0.858603287951,0.0229304401336,-0.718331160213,
8738,0.875489198129,0.0229698941969,-0.718654356133,
8759,0.905532440576,0.0230226304561,-0.719267276783,
8779,0.941189838552,0.0230514966583,-0.720058594322,
8799,0.941189838552,0.0230514966583,-0.720058594322,
8820,0.992929075652,0.0249487063226,-0.721876578056,
8841,1.01558631004,0.0249365035242,-0.72248990084,
8858,1.03824419837,0.024909743162,-0.723130409445,
8879,1.06554110206,0.024858607661,-0.723933616642,
8899,1.07827543215,0.0248277920675,-0.724319999131,
8923,1.12138069285,0.026644501463,-0.726061756366,
8942,1.14913173741,0.0265554371035,-0.726990952633,
8958,1.15768664474,0.0265237379477,-0.727283764536,
8979,1.19041258876,0.0263823268399,-0.728431394366,
8999,1.20533033651,0.0263073133969,-0.7289688404,
9018,1.25122893919,0.0281917061086,-0.731465516145,
9041,1.26322637707,0.0281236819394,-0.731933407217,
9068,1.28614291902,0.0279826460643,-0.732865649983,
9077,1.31452755941,0.027813036306,-0.734204756006,
9098,1.33086952522,0.0277719909542,-0.735070262877,
9117,1.3790519997,0.0303242116685,-0.738205055415,
9136,1.38657826983,0.0305841877164,-0.738785043277,
9164,1.38657826983,0.0305841877164,-0.738785043277,
9176,1.42798055163,0.0338482297938,-0.743136138064,
9198,1.4502885302,0.0378533750565,-0.746939955108,
9219,1.47435804793,0.0454282468881,-0.752477241292,
9236,1.48211182763,0.0487538356005,-0.75490144016,
9268,1.49001838581,0.0531011221598,-0.757882423648,
9279,1.50464194551,0.0652965153469,-0.765492777795,
9305,1.51037135739,0.0727781401606,-0.769791737706,
9327,1.51482010104,0.0808528602082,-0.774220565233,
9340,1.52766509407,0.0988356995843,-0.783390710167,
9362,1.53000352781,0.11683685887,-0.791889730916,
9379,1.52978839421,0.130786145164,-0.79795289804,
9398,1.5290721338,0.138514929346,-0.801145242946,
9425,1.53345062931,0.165653394835,-0.811217511687,
9448,1.53345062931,0.165653394835,-0.811217511687,
9466,1.52730810232,0.187976138043,-0.818529852946,
9485,1.52730810232,0.187976138043,-0.818529852946,
9505,1.50466630647,0.245474540526,-0.832976768357,
9524,1.50229029029,0.250551529849,-0.834005567271,
9564,1.50068336147,0.274672083189,-0.839715240708,
9577,1.48754550446,0.299484813862,-0.843513449704,
9594,1.47010039005,0.329883027855,-0.847067573967,
9613,1.47010039005,0.329883027855,-0.847067573967,
9628,1.45929196357,0.365380610582,-0.851514737251,
9655,1.44887295764,0.381415121591,-0.852358152226,
9664,1.44887295764,0.381415121591,-0.852358152226,
9682,1.44887295764,0.381415121591,-0.852358152226,
9704,1.40091458798,0.44938261515,-0.853126663445,
9720,1.40091458798,0.44938261515,-0.853126663445,
9745,1.38899762964,0.477696051197,-0.854728705435,
9769,1.35282470199,0.521463195153,-0.852214185071,
9786,1.35282470199,0.521463195153,-0.852214185071,
9807,1.32262778756,0.555214901318,-0.849304723448,
9825,1.32262778756,0.555214901318,-0.849304723448,
9843,1.32413506494,0.563686490634,-0.851746485721,
9877,1.25293593297,0.634257730756,-0.843398256874,
9895,1.24285887533,0.643525353576,-0.842155129462,
9902,1.24285887533,0.643525353576,-0.842155129462,
9921,1.22987845485,0.669368686677,-0.843743522448,
9951,1.17654112503,0.715907234192,-0.837263586003,
9973,1.17654112503,0.715907234192,-0.837263586003,
9988,1.14049310722,0.747131470739,-0.83293455324,
10013,1.1257567685,0.760092585589,-0.831159784443,
10024,1.13090410896,0.777500599721,-0.835039806726,
10054,1.09029073266,0.816771980773,-0.830053192824,
10063,1.09029073266,0.816771980773,-0.830053192824,
10088,1.09029073266,0.816771980773,-0.830053192824,
10108,1.03156985111,0.883000048722,-0.821636118443,
10134,1.02470866985,0.899939286458,-0.820408244115,
10144,1.01537041445,0.912151131066,-0.818840366386,
10166,1.01537041445,0.912151131066,-0.818840366386,
10183,0.994368480323,0.936486376688,-0.815757146544,
10205,0.965979434802,0.961023847469,-0.811716628976,
10227,0.945719003221,0.958049314954,-0.774086753182,
10254,0.925249238526,0.965130689741,-0.769767984257,
10268,0.880811471071,0.972796210123,-0.758832645323,
10284,0.847400432019,0.974304561171,-0.749738210354,
10321,0.779823754847,0.972033772953,-0.730493396857,
10330,0.774364998412,0.9750409801,-0.664451138724,
10352,0.774364998412,0.9750409801,-0.664451138724,
10368,0.686749208128,0.968649016886,-0.624857136937,
10389,0.686749208128,0.968649016886,-0.624857136937,
10410,0.588356510156,0.963338690172,-0.576893525666,
10432,0.624031923542,0.966922334012,-0.544737236639,
10445,0.624031923542,0.966922334012,-0.544737236639,
10472,0.555909187526,0.966045618526,-0.506416008533,
10493,0.555909187526,0.966045618526,-0.506416008533,
10510,0.491949394943,0.960783503749,-0.475311806618,
10536,0.463191057672,0.94238852366,-0.42795586244,
10560,0.441355748523,0.936503648763,-0.425323217427,
10571,0.441355748523,0.936503648763,-0.425323217427,
10594,0.397866919632,0.925584414075,-0.422224564552,
10613,0.321935449762,0.911220046918,-0.42204525466,
10643,0.292432839905,0.902902067262,-0.377488131308,
10658,0.292432839905,0.902902067262,-0.377488131308,
10673,0.254513740739,0.899440519325,-0.380621288743,
10695,0.189142132202,0.895877848777,-0.390588357428,
10715,0.166258604435,0.8951898934,-0.395480920889,
10735,0.122160898662,0.889127060608,-0.365851847815,
10755,0.0911144564572,0.889021476274,-0.375102676897,
10782,0.0285611673455,0.889533432134,-0.396872644411,
10817,-0.0516044515773,0.89157889395,-0.429968724728,
10828,-0.0516044515773,0.89157889395,-0.429968724728,
10844,-0.0792437584321,0.885403564351,-0.398400338006,
10870,-0.147778418541,0.888862421028,-0.430539136868,
10888,-0.161700213787,0.889718624872,-0.437472022184,
10903,-0.201064965626,0.892408684119,-0.457915887039,
10930,-0.243351017918,0.895702390633,-0.481164682481,
10943,-0.243351017918,0.895702390633,-0.481164682481,
10985,-0.315079337301,0.895751218852,-0.482582928989,
10985,-0.315079337301,0.895751218852,-0.482582928989,
11038,-0.380070712644,0.902440992013,-0.523704931222,
