t,x_0,x_1,x_2,
7808,-0.0223705215514,-0.0137944305328,-0.195065494308,
7836,-0.0233918361265,-0.0143936211772,-0.195970294596,
7860,-0.0238455250491,-0.0146614515751,-0.196948832993,
7904,-0.0245041144959,-0.0150441690779,-0.19769664869,
7930,-0.0254224556398,-0.0155794742528,-0.198525207084,
7960,-0.0241473645613,-0.014795748606,-0.196821009752,
8009,-0.0248851518595,-0.0152340024597,-0.198602072229,
8009,-0.0248851518595,-0.0152340024597,-0.198602072229,
8032,-0.0251313460873,-0.0153785317613,-0.199025418663,
8192,-0.0255839990597,-0.0156508056361,-0.200315718978,
8193,-0.0255839990597,-0.0156508056361,-0.200315718978,
8209,-0.0170895767617,-0.01056422225,-0.203557638959,
8237,-0.0173049599012,-0.0106965183507,-0.204031678486,
8260,-0.0176688427107,-0.0109192212713,-0.204801110016,
8291,-0.0164540541056,-0.0102093347958,-0.203403051571,
8314,-0.0165197239594,-0.0102517430474,-0.203491817525,
8349,-0.0167671535911,-0.0104072023308,-0.203749742818,
8381,-0.0160544258854,-0.0098614682354,-0.201990437551,
8397,-0.0163164600262,-0.010042027594,-0.202591069685,
8444,-0.0169156295392,-0.010428211627,-0.203542627028,
8595,-0.0159279076915,-0.00974183881489,-0.199481161468,
8595,-0.0159279076915,-0.00974183881489,-0.199481161468,
8603,-0.0159279076915,-0.00974183881489,-0.199481161468,
8664,-0.016349837571,-0.0100951838628,-0.202338424891,
8673,-0.0163902829573,-0.0101317688346,-0.202450499868,
8680,-0.0163902829573,-0.0101317688346,-0.202450499868,
8699,-0.016512210742,-0.0102272847502,-0.202643540367,
8716,-0.01564471316,-0.00947802914416,-0.201034938629,
8743,-0.01564471316,-0.00947802914416,-0.201034938629,
8756,-0.0158591848696,-0.00962890104167,-0.201250600932,
8775,-0.0163390804531,-0.00994926098552,-0.201604673071,
8792,-0.0163390804531,-0.00994926098552,-0.201604673071,
8811,-0.0163390804531,-0.00994926098552,-0.201604673071,
8833,-0.0164720860979,-0.010046575725,-0.201902718636,
8852,-0.0162745752454,-0.0098881779546,-0.200144643661,
8877,-0.0146793007574,-0.0089664107465,-0.201940920757,
8901,-0.0124210427347,-0.00765617182879,-0.204345324665,
8916,-0.0117588765815,-0.00763456713697,-0.200533385152,
8942,-0.0110436133445,-0.00722530182735,-0.201376350565,
8961,-0.0110436133445,-0.00722530182735,-0.201376350565,
8984,-0.00593040693107,-0.00424552904696,-0.20536737495,
9018,-0.00483535890325,-0.00361992210423,-0.206644341528,
9023,-0.00483535890325,-0.00361992210423,-0.206644341528,
9044,-0.00483535890325,-0.00361992210423,-0.206644341528,
9079,-0.00113513684114,-0.00128703927012,-0.207903652925,
9112,0.000801432642525,-0.000164672455363,-0.209702587048,
9133,0.00203906893663,0.000552728239087,-0.211156641947,
9154,0.00199252332321,0.000862743289438,-0.20792294386,
9171,0.00265855733171,0.00125060180178,-0.208712958083,
9193,0.00441330513725,0.00228403512669,-0.210814025673,
9221,0.0049651087521,0.00261398337007,-0.211471299062,
9236,0.00727459322351,0.00394243740615,-0.21423160404,
9261,0.00738040995896,0.00409246376737,-0.2110236619,
9279,0.00841091733319,0.00470313799713,-0.212247852813,
9323,0.0114500053839,0.00652189104032,-0.215900453014,
9345,0.0120273536339,0.00686939598873,-0.2165955284,
9370,0.0138111812141,0.0079258529996,-0.218738635286,
9410,0.0153264618969,0.00892210510996,-0.216380482628,
9424,0.0155499637584,0.00905890334353,-0.216655360589,
9450,0.0175538468135,0.0102934873155,-0.219369633066,
9467,0.0180299634393,0.0105831986027,-0.220105064901,
9493,0.0198731572528,0.0116945431354,-0.223401509361,
9514,0.0186008535909,0.0111224343092,-0.220244213751,
9532,0.0190886550797,0.0114209265234,-0.221438619785,
9560,0.0201855962757,0.0120991221322,-0.224595858081,
