t,x,y,z,
4494,-0.00552676941474,-0.00766689702378,-0.48248967561,
4509,-0.00527915341435,-0.00708290895774,-0.439608096835,
4531,-0.00554679303554,-0.00728861967222,-0.455345124875,
4553,-0.0056139771853,-0.00733603660022,-0.457691373953,
4590,-0.00606337832858,-0.00764906643819,-0.472114261064,
4628,-0.00610704120841,-0.0077465125035,-0.501484934589,
4651,-0.00582455755271,-0.00724768675434,-0.452922667505,
4671,-0.00582455755271,-0.00724768675434,-0.452922667505,
4682,-0.00563625184523,-0.00716837178841,-0.471683252337,
4703,-0.00572288760885,-0.00723757624704,-0.481367080806,
4720,-0.00575115864154,-0.00728279706465,-0.496344430255,
4766,-0.00543411193537,-0.00695207506891,-0.458421586431,
4766,-0.00543411193537,-0.00695207506891,-0.458421586431,
4782,-0.0054704683804,-0.00698566871605,-0.464524728943,
4798,-0.00529202731037,-0.00691470117786,-0.479504788309,
4821,-0.00532817741898,-0.00694882716919,-0.485713676081,
4842,-0.00502825186574,-0.00680744384447,-0.500542897074,
4861,-0.00479755257636,-0.00654205887342,-0.451318720544,
4895,-0.00451663576834,-0.00644204586533,-0.476605454112,
4899,-0.00451663576834,-0.00644204586533,-0.476605454112,
4917,-0.00451663576834,-0.00644204586533,-0.476605454112,
4938,-0.00442737174133,-0.00602523515691,-0.435783899324,
4952,-0.00412342088136,-0.00588762974851,-0.45459777142,
4979,-0.00395669559249,-0.00580881661672,-0.463262040834,
4997,-0.00395669559249,-0.00580881661672,-0.463262040834,
5019,-0.00378204222372,-0.00573304119211,-0.475112245239,
5034,-0.00378204222372,-0.00573304119211,-0.475112245239,
5054,-0.00378204222372,-0.00573304119211,-0.475112245239,
5078,-0.00156180954691,-0.00450421467172,-0.465245956322,
5099,-0.00138877885692,-0.00441370627376,-0.470525175259,
5129,-0.000696492326335,-0.0040940477105,-0.48239853558,
5139,-0.000696492326335,-0.0040940477105,-0.48239853558,
5171,0.001490487009,-0.00347303476163,-0.459501760196,
5179,0.001490487009,-0.00347303476163,-0.459501760196,
5194,0.001490487009,-0.00347303476163,-0.459501760196,
5221,0.00320234998722,-0.00286722671482,-0.486249851223,
5240,0.00232234873268,-0.00277210245391,-0.43937139709,
5258,0.00345925280713,-0.0024240635782,-0.452296546164,
5276,0.00394922074363,-0.002263693812,-0.459208525745,
5297,0.0043432822316,-0.00210201535133,-0.466878223857,
5313,0.0043432822316,-0.00210201535133,-0.466878223857,
5335,0.00529144469996,-0.00178951800922,-0.481013389651,
5366,0.00548924086407,-0.00143619075822,-0.456537253326,
5378,0.00548924086407,-0.00143619075822,-0.456537253326,
5398,0.00628003376096,-0.00110553110985,-0.469983153206,
5414,0.00660833001772,-0.00098449443035,-0.475501324916,
5440,0.00702965275137,-0.000853704896749,-0.482817228595,
5468,0.00689861196432,-0.000717598058165,-0.451814799618,
5477,0.00689861196432,-0.000717598058165,-0.451814799618,
5506,0.00789407024893,-0.000453727091646,-0.46779812004,
5519,0.00789407024893,-0.000453727091646,-0.46779812004,
5542,0.00894993045919,-4.08471661166e-05,-0.485639363063,
5574,0.00864401935714,-0.000148724377046,-0.449713046862,
5582,0.00864401935714,-0.000148724377046,-0.449713046862,
5604,0.00902058785935,8.43733863772e-06,-0.455844441968,
5619,0.00902058785935,8.43733863772e-06,-0.455844441968,
5650,0.00985233121593,0.000343793369273,-0.433235795309,
5679,0.0113664095279,0.00102488259959,-0.449073456766,
5685,0.0113664095279,0.00102488259959,-0.449073456766,
5708,0.0130038217965,0.00172701910392,-0.463898613891,
5722,0.0146224115565,0.00238951596022,-0.477130933134,
5740,0.0150216029304,0.00254630668528,-0.48019609629,
5761,0.0154508177448,0.00310866964435,-0.445616459383,
5777,0.0159452642445,0.00328955000157,-0.448820153524,
5801,0.0192935658923,0.00441744799478,-0.468313693849,
5818,0.0208464636458,0.00493935851829,-0.476696817925,
5842,0.0214039285669,0.00511750672619,-0.479611326125,
5866,0.0207769504306,0.0050942746206,-0.441033312817,
5886,0.0245389255975,0.00613356803999,-0.457947468214,
5898,0.0262739177611,0.00654989669276,-0.465129283282,
5919,0.0262739177611,0.00654989669276,-0.465129283282,
5945,0.0282833642237,0.00699684536137,-0.4384912228,
5960,0.030409450037,0.00738084867906,-0.446253345865,
5978,0.0319027717349,0.00762411387629,-0.451590372478,
6000,0.0353950603254,0.00810927279824,-0.463763636462,
6031,0.0391948007596,0.00851577794006,-0.476790430679,
6041,0.0391948007596,0.00851577794006,-0.476790430679,
6058,0.0414422981963,0.00851723490566,-0.44964106946,
6081,0.0428661409817,0.00860598666283,-0.454067980396,
6101,0.0456468345484,0.00874565941689,-0.462665038603,
6115,0.0494144676689,0.00886772647372,-0.474428699882,
6134,0.0489608084268,0.00848186665228,-0.438980073597,
6153,0.0516828163796,0.00850681832333,-0.447097219771,
6173,0.0516828163796,0.00850681832333,-0.447097219771,
