t,x,y,z,
5928,-0.019304786391,-0.00958059711095,-0.180105849318,
5960,-0.0178301445328,-0.00883357501126,-0.180709970507,
5961,-0.0178301445328,-0.00883357501126,-0.180709970507,
5994,-0.0178301445328,-0.00883357501126,-0.180709970507,
6016,-0.0194620779959,-0.00979078051034,-0.179507228319,
6028,-0.0194620779959,-0.00979078051034,-0.179507228319,
6048,-0.0194620779959,-0.00979078051034,-0.179507228319,
6069,-0.0194620779959,-0.00979078051034,-0.179507228319,
6088,-0.0194620779959,-0.00979078051034,-0.179507228319,
6105,-0.0186878353171,-0.0093128661295,-0.178932312394,
6126,-0.0172338737821,-0.00849229987461,-0.179281857269,
6147,-0.0173230643454,-0.00853805824691,-0.179096075923,
6163,-0.0176496377773,-0.00871032771755,-0.178650981003,
6188,-0.0176496377773,-0.00871032771755,-0.178650981003,
6204,-0.0176496377773,-0.00871032771755,-0.178650981003,
6225,-0.0176496377773,-0.00871032771755,-0.178650981003,
6249,-0.0178480670341,-0.00875899176309,-0.178003450878,
6286,-0.0178480670341,-0.00875899176309,-0.178003450878,
6314,-0.0187614441823,-0.00927321408788,-0.177255775765,
6325,-0.0187614441823,-0.00927321408788,-0.177255775765,
6348,-0.0189251869223,-0.00934939384038,-0.176837119669,
6364,-0.0176209277678,-0.0086193509043,-0.176953534316,
6393,-0.0176673783633,-0.00862771449018,-0.176626329742,
6414,-0.0176371545307,-0.008594015522,-0.17654516441,
6427,-0.0179009635101,-0.00872824809417,-0.176458103816,
6443,-0.017920064003,-0.00872579221346,-0.176254707185,
6464,-0.0168368304687,-0.00830106898517,-0.177246643486,
6482,-0.0169481652176,-0.0083523782931,-0.177121330714,
6508,-0.0173306625174,-0.00854769586783,-0.176924307126,
6527,-0.017358649697,-0.00854857519815,-0.176791666959,
6545,-0.0174608462027,-0.00860251385766,-0.176627621746,
6563,-0.0164320976887,-0.00809217935633,-0.176533185759,
6588,-0.0164113184888,-0.00806499958665,-0.176387171281,
6602,-0.0167274960871,-0.00822988161947,-0.176211893581,
6623,-0.0168053793401,-0.00826716885275,-0.176140414383,
6646,-0.0158624893208,-0.00785644279307,-0.176403228238,
6670,-0.0159392293314,-0.00789362913654,-0.176329403794,
6691,-0.0157170948661,-0.00773977523419,-0.176014533135,
6710,-0.0158970545547,-0.00783136921388,-0.175887717421,
6727,-0.0159125385505,-0.00783634207556,-0.175815326021,
6752,-0.016230251225,-0.00800665661525,-0.175442984185,
6769,-0.0149882048843,-0.0075688541282,-0.17594332951,
6788,-0.0149858911064,-0.00756358174828,-0.175912774572,
6806,-0.015066913717,-0.00758962334355,-0.17551657093,
6826,-0.0151252682633,-0.00761938963921,-0.175414180005,
6842,-0.0144752571724,-0.00728543868392,-0.175469460638,
6863,-0.0144752571724,-0.00728543868392,-0.175469460638,
6885,-0.0143085905973,-0.00717087691386,-0.175231394568,
6906,-0.0140334533616,-0.00698737245749,-0.174907002018,
6924,-0.01408578495,-0.00699609782242,-0.174637917032,
6951,-0.0140815474206,-0.00698042209592,-0.174472090343,
6972,-0.0132939259024,-0.00684009991433,-0.175495053456,
6992,-0.0132939259024,-0.00684009991433,-0.175495053456,
7011,-0.0124453851571,-0.00632027384225,-0.174957044439,
7038,-0.0122952917504,-0.00621254713994,-0.17443680522,
7049,-0.0115983175824,-0.00582256192505,-0.174813282921,
7066,-0.0114934659165,-0.0057491669743,-0.17459871603,
7087,-0.0113230654061,-0.00563942977714,-0.174381345588,
7111,-0.0111475478017,-0.00552204231764,-0.174173304428,
7135,-0.0108516385254,-0.00533924227363,-0.174001881474,
7153,-0.0104798603569,-0.00502517122321,-0.175228123719,
7167,-0.0103398600594,-0.0049365938152,-0.17510067968,
7189,-0.0102067511359,-0.0048454606626,-0.174890564896,
7210,-0.00998532913624,-0.00470141171327,-0.17451075555,
7236,-0.00993712161984,-0.00466764569929,-0.174439755703,
7255,-0.00923497095928,-0.0044521468229,-0.174937777092,
7283,-0.00876941433771,-0.00416199252701,-0.174274380672,
7309,-0.0083199351891,-0.0038833064525,-0.173713193997,
7319,-0.00823406974759,-0.00382930373833,-0.173504903925,
7333,-0.00799139215358,-0.00368013726752,-0.173238373913,
7364,-0.00736896137981,-0.00333476719182,-0.173034971723,
7372,-0.00724815003246,-0.00326024422618,-0.17288121616,
7395,-0.00707329190228,-0.00315186252288,-0.172477462489,
7419,-0.00673328125294,-0.00294183631917,-0.172171672989,
7452,-0.00580643551447,-0.00254882370344,-0.172717623391,
7454,-0.00580643551447,-0.00254882370344,-0.172717623391,
7481,-0.00554661100242,-0.0023933998757,-0.172507391858,
7505,-0.00512237302312,-0.00214101722258,-0.172210846317,
7522,-0.00470014131433,-0.0018921106911,-0.171952457818,
7542,-0.00437583264561,-0.00169930777893,-0.171614942826,
7620,-0.00420150585429,-0.00159676705016,-0.171478868675,
7620,-0.00420150585429,-0.00159676705016,-0.171478868675,
7648,-0.000296469306862,0.000589710039853,-0.17090237431,
7666,-0.000349892520591,0.00057799330511,-0.17286369555,
7687,0.000177708228982,0.000885285570845,-0.172474265417,
7701,0.000177708228982,0.000885285570845,-0.172474265417,
7718,0.000959327750212,0.00133559478275,-0.172099429121,
7745,0.000959327750212,0.00133559478275,-0.172099429121,
7761,0.00108058703642,0.0014098187295,-0.172094333008,
7792,0.00122167757988,0.00149141554343,-0.171921771223,
7801,0.00144005731281,0.00161713005995,-0.171588770766,
7828,0.00190523721764,0.0018863965874,-0.17100755662,
7839,0.00190523721764,0.0018863965874,-0.17100755662,
7864,0.00201773474311,0.00194848141917,-0.170731280161,
7888,0.0027991448827,0.0021629929862,-0.170822898435,
7904,0.00308353108162,0.00232410025247,-0.170480605667,
7922,0.00343608277699,0.00252349630396,-0.170044675246,
7942,0.00355727248498,0.00259257674845,-0.169907240875,
7973,0.00352268008998,0.00230842903217,-0.170716902028,
7990,0.00362655211403,0.0023639199548,-0.170503911736,
8020,0.00410437486422,0.00265642211362,-0.169972553659,
8050,0.00457667129879,0.00290182421842,-0.16950398101,
8067,0.00467833102699,0.00295846693931,-0.169398501053,
8076,0.00486471171857,0.00305779055673,-0.169205310366,
8094,0.00489808873738,0.00304260495888,-0.169850030798,
8122,0.00525987213278,0.00324455178295,-0.169469151716,
8127,0.0054660977405,0.0033596661169,-0.16925141748,
8155,0.00577725275609,0.00353040514999,-0.168922641366,
8169,0.0056172829663,0.00342785465083,-0.170580585327,
8184,0.00600675983187,0.00363990590119,-0.170369213637,
8205,0.00600675983187,0.00363990590119,-0.170369213637,
8223,0.00650013291504,0.00390588167656,-0.170619840286,
8253,0.00676823601436,0.00404832952062,-0.171090631753,
8274,0.00676823601436,0.00404832952062,-0.171090631753,
8293,0.00689434585753,0.00420277337292,-0.175870426495,
8310,0.00726315693239,0.00439368625423,-0.178138356439,
8328,0.00738612195276,0.00445661947792,-0.179017085493,
8368,0.00767821108395,0.00445476807924,-0.186739751197,
8369,0.00767821108395,0.00445476807924,-0.186739751197,
8392,0.00822085845859,0.0047209946747,-0.192759184815,
8423,0.00847823284985,0.00484593400934,-0.196042981957,
8429,0.00900163038744,0.0050968942878,-0.203643012984,
8455,0.00900163038744,0.0050968942878,-0.203643012984,
8477,0.00854160881763,0.00479641050281,-0.211020600709,
8497,0.00920457078302,0.00510787386006,-0.223203996877,
8513,0.00920457078302,0.00510787386006,-0.223203996877,
8530,0.00987003724401,0.00541781468892,-0.237143167473,
8554,0.0101489860552,0.00554503535475,-0.24349615447,
8571,0.0105475346798,0.00572482458291,-0.253054062281,
8589,0.0105475346798,0.00572482458291,-0.253054062281,
8610,0.0106447742175,0.00563879266212,-0.272961222723,
8633,0.0110581422505,0.00582175519913,-0.284803026854,
8655,0.0114529892465,0.00599488685454,-0.296660896475,
8669,0.0114529892465,0.00599488685454,-0.296660896475,
8689,0.0112587596304,0.00568142735117,-0.320178831964,
8710,0.0113997363338,0.00574178925467,-0.325056659014,
8726,0.0118651948278,0.00594081159736,-0.341753482271,
8756,0.0121110431652,0.00604603106229,-0.350945613199,
8769,0.0122590380726,0.00610934894609,-0.356612196208,
8791,0.0116819480821,0.00565633669149,-0.358649444656,
8807,0.0125510772543,0.00602097138373,-0.39448692287,
8825,0.0129554852571,0.00619244213982,-0.412523410915,
8845,0.0131729970755,0.00628515040948,-0.422597716517,
8864,0.013322071335,0.00634881550722,-0.429626120178,
8887,0.0131644072204,0.00607109594204,-0.455638823612,
8902,0.0133867025645,0.00616665692695,-0.466674700513,
8924,0.0135625379329,0.00624317309191,-0.475466491394,
8939,0.0138429121179,0.00636627011617,-0.489597406994,
8960,0.013422166541,0.0058491303702,-0.508619081746,
8983,0.0135467060625,0.00590330988416,-0.515104852284,
9007,0.0139215769274,0.0060664461616,-0.534498586239,
9031,0.0142672369009,0.00622041319067,-0.55231175794,
9059,0.0143700648077,0.00626684881113,-0.557603923966,
9080,0.0138966802248,0.00598655491577,-0.578130480357,
9096,0.014025937389,0.00604658538341,-0.584856450437,
9112,0.0143608017702,0.00620316941716,-0.60206717047,
9136,0.0145882448978,0.00631123118893,-0.613550949287,
9152,0.0147648552634,0.00639661739233,-0.62230062293,
9175,0.0140143508454,0.00601101104694,-0.62781680743,
9207,0.0144150336591,0.00620900747208,-0.647602403979,
9218,0.0144150336591,0.00620900747208,-0.647602403979,
9239,0.0145904277611,0.00629711162373,-0.655996592341,
9255,0.0149395388525,0.00647459230125,-0.67210827009,
9281,0.0141918762576,0.00593507682,-0.678400831986,
9296,0.0143118499341,0.00599654481207,-0.683873082439,
9312,0.0145221123387,0.00610369333756,-0.693187675843,
9332,0.0146266280444,0.00615824477445,-0.697719933866,
9353,0.0148348782017,0.00626780436996,-0.706453402569,
9371,0.0139997940457,0.00595794178829,-0.706888814964,
9392,0.0142999669347,0.00612299286357,-0.71945969552,
9415,0.0143984806614,0.00617981535978,-0.723456025388,
9435,0.0144546430368,0.00621254757372,-0.725702082958,
9455,0.0145243368131,0.00625320408244,-0.728458191563,
9476,0.0147503145082,0.00639091044493,-0.737234207845,
9490,0.0141142116607,0.00621833471628,-0.744428325884,
9519,0.014203580663,0.00627670638454,-0.747695867324,
9545,0.0142962854783,0.00633789247694,-0.751007502559,
9560,0.0144206435427,0.00642119007243,-0.755313800808,
9581,0.0137178583278,0.0058193358082,-0.76235458177,
9609,0.0138738203011,0.0059246580808,-0.767459334308,
9623,0.0138738203011,0.0059246580808,-0.767459334308,
9646,0.0140648922534,0.00605399958303,-0.773288954969,
9667,0.0141336651244,0.00610074460217,-0.775285318632,
9684,0.0141902125437,0.00613871485388,-0.776873247552,
9710,0.0135504461462,0.0058943793846,-0.782028135542,
9727,0.0135504461462,0.0058943793846,-0.782028135542,
9737,0.0135504461462,0.0058943793846,-0.782028135542,
9766,0.0137497434376,0.00603146573845,-0.787157316316,
9779,0.0137497434376,0.00603146573845,-0.787157316316,
9802,0.0130033838396,0.00585991643058,-0.790752523787,
9824,0.0132243001786,0.00601896691111,-0.795811692183,
9845,0.0132886982485,0.00606461991521,-0.797170872661,
9873,0.0133497500677,0.00610822839867,-0.798425474424,
9883,0.0133497500677,0.00610822839867,-0.798425474424,
9904,0.0133497500677,0.00610822839867,-0.798425474424,
9928,0.012510524502,0.00589140524739,-0.802208447336,
9948,0.0127314674467,0.00605278953172,-0.806333502938,
9958,0.0127314674467,0.00605278953172,-0.806333502938,
9982,0.0119636598287,0.00572102291632,-0.808475584209,
10000,0.0120418214136,0.00578059914058,-0.809782633671,
10019,0.0120418214136,0.00578059914058,-0.809782633671,
10039,0.0120418214136,0.00578059914058,-0.809782633671,
10062,0.0122724472415,0.0059467806999,-0.813146994525,
10087,0.0122724472415,0.0059467806999,-0.813146994525,
10105,0.0110524347687,0.00553162287109,-0.814913561313,
10129,0.0112248606163,0.00566274255463,-0.81736378216,
10138,0.0112248606163,0.00566274255463,-0.81736378216,
10163,0.0112583837506,0.00568801862195,-0.817813976017,
10185,0.0113296885242,0.00574155823135,-0.818727097461,
10208,0.0113296885242,0.00574155823135,-0.818727097461,
10226,0.0113296885242,0.00574155823135,-0.818727097461,
10256,0.0104362268057,0.00518726764223,-0.822041320164,
10264,0.0105483690359,0.00526466580744,-0.823342987043,
